Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Strategy,Thematic,Children,Party,Abstract,War,Family,Customizable
2016.0,2,4,45,8,12139,7.56,1.67,15704.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,2,5,45,8,6991,7.71,1.65,11050.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2016.0,2,4,30,12,12203,7.6,1.9,21315.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2005.0,2,5,60,12,12968,7.49,2.93,14231.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2013.0,1,5,120,14,12926,7.49,3.34,15424.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007.0,2,2,120,12,8516,7.61,3.21,10199.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,2,6,120,12,3768,8.01,3.19,6449.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,2,2,15,10,11047,7.54,1.71,18073.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,2,4,120,12,9107,7.56,3.74,11914.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2006.0,2,6,180,13,8246,7.61,3.57,7124.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,2,4,90,13,12707,7.47,3.6,16675.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998.0,2,4,60,10,14758,7.45,2.49,15197.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,2,5,60,14,8388,7.59,2.13,13129.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,2,4,60,14,20812,7.41,2.77,24484.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2014.0,1,4,90,10,21089,7.41,2.77,28363.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
